code,denominacion,url,valor_turistico,confidencialidad,route_difficulty,latitude,longitude,eclipse_visibility,status,cloud_coverage,cloud_status,cloud_url,bortle_scale,bortle_status,horizon_status,shademap_status
IB200n,"Soto en Cameros 1, 2 y 3",https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200n,4.9,Public,Medium,42.297744,-2.414614,not_visible,success,38,success,"https://www.timeanddate.com/eclipse/in/@42.297744,-2.414614?iso=20260812",9,success,success,not_checked
IB200o,la Era del Peladillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200o,5.9,Public,Low,42.083328,-2.043049,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.083328,-2.043049?iso=20260812",9,success,success,not_checked
IB200p,Las Navillas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200p,3.1,Public,Low,42.067068,-1.941051,visible,success,30,success,"https://www.timeanddate.com/eclipse/in/@42.067068,-1.941051?iso=20260812",9,success,success,not_checked
IB200q,La Torre,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200q,3.5,Public,Medium,42.075845,-2.040422,not_visible,success,32,success,"https://www.timeanddate.com/eclipse/in/@42.075845,-2.040422?iso=20260812",9,success,success,not_checked
IB200r,Valdebrajes,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200r,3.5,Public,Low,42.073576,-1.973726,not_visible,success,30,success,"https://www.timeanddate.com/eclipse/in/@42.073576,-1.973726?iso=20260812",7,success,success,not_checked
IB200s,Las Losas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200s,5,Public,Low,42.153846,-2.279108,not_visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.153846,-2.279108?iso=20260812",9,success,success,not_checked
IB200t,La Senoba,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200t,5.8,Public,Low,42.130706,-2.267609,visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.130706,-2.267609?iso=20260812",4,success,success,not_checked
IB200u,Navalsaz,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200u,6,Public,Low,42.120794,-2.208504,visible,success,35,success,"https://www.timeanddate.com/eclipse/in/@42.120794,-2.208504?iso=20260812",9,success,success,not_checked
IB200v,La Pellejera,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200v,5.1,Public,Low,42.218676,-2.453835,visible,success,38,success,"https://www.timeanddate.com/eclipse/in/@42.218676,-2.453835?iso=20260812",9,success,success,not_checked
IB207,Yacimientos de dinosaurios del Jurásico-Cretácico en Galve,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB207,2.9,Public,Medium,40.644417,-0.869513,visible,success,20,success,"https://www.timeanddate.com/eclipse/in/@40.644417,-0.869513?iso=20260812",9,success,success,success
IB208,Yacimiento de dinosaurios del Cretácico inferior de Vallivana (Morella),https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB208,3,Public,Low,40.544161,0.031853,visible,success,26,success,"https://www.timeanddate.com/eclipse/in/@40.544161,0.031853?iso=20260812",9,success,success,success
IBS189,El Contadero,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IBS189,3,Public,Medium,42.193924,-2.408880,not_visible,success,34,success,"https://www.timeanddate.com/eclipse/in/@42.193924,-2.408880?iso=20260812",9,success,success,success
CUSTOM003,Valencia Test Site,https://info.igme.es/ielig/LIGInfo.aspx?codigo=CUSTOM003,5.0,Public,Medium,39.469900,-0.376300,not_checked,custom,N/A,not_checked,N/A,N/A,not_checked,not_checked,not_checked
